student,sex,english,statsofar,ageguess,smoke,h.left,h.right,handedness,statfuture,haircut,lecture,alone,height.in,hand.span,color,lastsleep,pulse,year,lovetrueage
201601,f,y,7,45,1,0,10,1,7,15,4,4,63,21,blue,6,64,2016,49.5
201602,m,y,6,53,1,0,18,1,7,12,2,4,69,19.2,green,8,88,2016,49.5
201603,f,y,3,60,1,0,18,1,5,30,3,4,68,18,blue,6.5,80,2016,49.5
201604,f,n,4,37,1,5,7,0.166666667,7,NA,3,2,63,18.5,grey,8,60,2016,49.5
201605,f,n,7,35,1,0,10,1,7,20,2,1,61,17,green,7,84,2016,49.5
201606,m,n,7,43,3,11,10,-0.047619048,7,15,3,3,70,22,blue,6,74,2016,49.5
201607,m,n,5,45,3,20,11,-0.290322581,7,20,3,2,73,20,red,9,84,2016,49.5
201608,f,y,6,46,1,6,13,0.368421053,7,25,3,3,66,18,red,6.5,80,2016,49.5
201609,m,y,6,50,1,2,11,0.692307692,6,0,3,4,66,19,blue,7,50,2016,49.5
201610,f,y,5,50,1,3,17,0.7,6,25,3,3,66,19,purple,4,60,2016,49.5
201611,f,y,7,NA,1,5,9,0.285714286,7,40,2,3,63,13.5,blue,6,66,2016,49.5
201612,f,y,4,60,1,3,7,0.4,6,70,3,3,64,18,white,7.5,72,2016,49.5
201613,f,y,5,42,1,1,14,0.866666667,7,0,3,5,68,17,dark blue,8.5,78,2016,49.5
201614,f,y,6,39,1,1,13,0.857142857,7,15,4,3,64,16.75,teal,9.5,84,2016,49.5
201615,m,y,5,48,2,4,16,0.6,7,30,2,3,71,21.5,blue,7.5,94,2016,49.5
201616,f,y,4,47,1,4,13,0.529411765,7,0,3,2,71,19,red,6.67,90,2016,49.5
201617,f,y,3,45,1,0,15,1,5,20,3,3,67,20,purple,8,74,2016,49.5
201618,f,y,3,42,1,4,13,0.529411765,7,10,3,4,61,20,purple,6,72,2016,49.5
201619,m,y,4,49,1,4,10,0.428571429,5,18,3,4,74,20.3,blue,NA,58,2016,49.5
201620,f,y,2,52,1,4,9,0.384615385,5,32,4,3,63,18.5,blue,6,92,2016,49.5
201621,m,y,5,43,1,2,17,0.789473684,6,20,3,3,69,23,blue,7,65,2016,49.5
201622,m,y,3,50,1,1,19,0.9,6,20,3,3,71,23,blue,6,56,2016,49.5
201623,m,y,5,45,1,1,15,0.875,6,20,2,2,75,22,blue,7,50,2016,49.5
201624,m,y,3,53,1,2,18,0.8,6,20,4,2,64,23,black,8,76,2016,49.5
201625,f,y,5,NA,1,4,13,0.529411765,7,45,4,4,70,19.5,blue,7,56,2016,49.5
201626,f,y,5,46,1,8,7,-0.066666667,7,60,3,4,63,19.2,blue,8,106,2016,49.5
201627,m,n,6,40,1,1,16,0.882352941,7,15,3,4,72,9.5,yellow,8,70,2016,49.5
201628,m,n,5,43,1,0,20,1,6,17,4,2,66,10,blue,7.5,68,2016,49.5
201629,m,y,6,47,1,0,10,1,6,15,3,2,66,9.5,blue,8,60,2016,49.5
201630,f,n,3,45,1,0,20,1,6,60,3,3,66,18,aqua,7,82,2016,49.5
201631,f,y,5,48,1,2,12,0.714285714,6,50,4,4,64,20,light blue,7.5,72,2016,49.5
201632,m,y,5,47,1,0,11,1,7,0,3,4,66,20,purple,8,90,2016,49.5
201633,m,n,4,41,1,0,20,1,4,15,4,1,68,25,blue,9,54,2016,49.5
201634,f,n,7,45,1,0,10,1,7,15,4,3,65,20,black,7,100,2016,49.5
201635,m,y,3,52,1,3,17,0.7,6,8,3,4,66,22,blue,7.5,56,2016,49.5
201636,f,y,5,24,1,1,19,0.9,6,120,3,1,69,20,blue,8,65,2016,49.5
201637,f,y,6,49,1,2,10,0.666666667,7,20,4,3,62,20,white,6,60,2016,49.5
201638,f,y,4,42,1,7,8,0.066666667,7,40,1,2,60,21,none,7.5,60,2016,49.5
201639,m,y,7,70,1,0,10,1,7,35,3,4,67,19,blue,5,64,2016,49.5
201640,f,y,5,53,1,0,20,1,6,32,2,2,62,18.5,green,6,70,2016,49.5
201641,f,y,5,54,1,0,20,1,6,40,2,2,62,18.5,blue,6.5,80,2016,49.5
201642,m,n,6,48,1,0,10,1,5,20,3,3,71,25,green,6,64,2016,49.5
201643,f,n,5,40,1,0,10,1,5,15,3,4,64,18.5,blue,8,78,2016,49.5
201644,m,y,5,47,1,2,18,0.8,7,0,2,3,71,18.5,green,7,68,2016,49.5
201645,f,y,4,43,1,1,19,0.9,5,40,3,4,63.5,17,blue,7,74,2016,49.5
201646,m,y,5,46,2,2,13,0.733333333,7,9,3,2,74,23,blue,6,90,2016,49.5
201647,m,y,6,38,1,3,14,0.647058824,7,0,2,4,71,22.5,blue,9,74,2016,49.5
201648,f,y,5,48,2,7,3,-0.4,7,60,3,5,68,21,blue,7.5,90,2016,49.5
201649,m,y,5,NA,1,8,4,-0.333333333,7,12,1,2,70,21.5,grey,5,66,2016,49.5
201650,f,y,5,50,2,0,10,1,7,0,3,4,65,18.5,purple,5,70,2016,49.5
201651,m,y,5,35,1,0,14,1,7,5,1,3,72,21.5,navy,7,55,2016,49.5
201652,m,y,5,50,1,0,10,1,7,0,5,2,69,NA,blue,7.5,65,2016,49.5
201653,m,y,4,45,1,2,18,0.8,7,0,3,2,67,24,brown,5,60,2016,49.5
201654,f,y,6,48,2,8,2,-0.6,6,25,1,3,68,21,royal blue,8.5,64,2016,49.5
201655,f,y,5,44,1,10,1,-0.818181818,6,75,3,4,63,17.5,violet,8.5,56,2016,49.5
201656,m,y,4,55,1,2,10,0.666666667,7,20,4,4,73,22,navy,6,90,2016,49.5
201657,m,y,5,48,1,0,20,1,6,10,3,3,69,21.5,black,7,68,2016,49.5
201658,m,y,6,52,2,1,12,0.846153846,6,0,2,3,66,19.5,green,7,63,2016,49.5
201659,m,y,7,45,1,4,6,0.2,7,26,1,1,67,21,blue,7,78,2016,49.5
201660,m,y,6,38,1,5,14,0.473684211,7,20,2,4,73,22.5,red,6,60,2016,49.5
201661,m,y,6,32,1,2,14,0.75,7,30,3,4,70,22,red,9,60,2016,49.5
201662,m,y,6,47,1,0,10,1,7,30,1,1,76,23,gray,6,66,2016,49.5
201663,m,y,7,40,1,1,10,0.818181818,7,20,5,3,63,20,green,4,56,2016,49.5
201664,f,n,7,40,1,0,10,1,7,20,3,4,65,20.5,green,7,88,2016,49.5
201501,f,n,5,48,1,2,15,0.76,7,15,3,3,61,19.5,blue,8,66,2015,48.5
201502,m,y,6,52,1,1,11,0.83,7,7,4,4,71,21,blue,8,65,2015,48.5
201503,m,y,5,47,1,6,6,0,7,19,2,2,67,19.5,chartreuse,8,80,2015,48.5
201504,m,y,5,47,1,10,0,-1,7,30,4,4,66,22,blue,6.5,60,2015,48.5
201505,f,y,3,46,1,15,5,-0.5,5,35,2,4,66,19,red,4,56,2015,48.5
201506,m,n,7,40,1,2,14,0.75,7,5,3,2,70,21,blue,9,90,2015,48.5
201507,m,y,6,42,1,1,12,0.85,7,0,3,4,74,24,blue,7,94,2015,48.5
201508,m,y,5,49,1,0,20,1,6,17.5,4,4,72,22,blue,7,70,2015,48.5
201509,m,y,5,48,1,20,0,-1,6,0,2,4,71,22.2,red,7.5,72,2015,48.5
201510,m,y,3,42,1,18,2,-0.8,5,32,2,4,72,23,blue,5,64,2015,48.5
201511,f,y,7,48,1,1,10,0.82,7,14,2,2,62,19.5,white,6,62,2015,48.5
201512,m,n,5,40,1,2,18,0.8,6,5,2,2,68,NA,red,9,72,2015,48.5
201513,m,y,3,54,1,20,0,-1,7,5,3,3,71,NA,red,9,72,2015,48.5
201514,f,y,5,50,1,15,5,-0.5,6,25,3,4,63,19,purple,9,72,2015,48.5
201515,m,y,5,45,1,13,7,-0.3,6,0,3,2,73,22,blue,7.5,78,2015,48.5
201516,f,y,4,44,1,1,16,0.88,7,25,2,3,66,24.1,NA,8,66,2015,48.5
201517,f,y,6,45,1,1,16,0.88,6,10,3,2,61,21.5,purple,7,72,2015,48.5
201518,f,y,5,36,2,3,9,0.5,7,50,2,3,64,20,blue,8,68,2015,48.5
201519,m,y,3,47,1,0,10,1,6,15,4,3,67,22,orange,6.5,60,2015,48.5
201520,f,y,4,45,1,0,16,1,5,30,2,3,64,17,pink,8,58,2015,48.5
201521,m,y,4,50,1,4,15,0.58,6,17,4,3,72,19,green,8,60,2015,48.5
201522,f,n,3,41,1,4,16,0.6,5,35,2,2,64,17.5,pink,8,60,2015,48.5
201523,f,y,6,52,1,3,9,0.5,6,60,2,5,68,19,green,6,62,2015,48.5
201524,m,y,3,48,1,1,14,0.87,5,15,4,5,72,21.5,green,9,68,2015,48.5
201525,m,n,4,46,1,1,16,0.88,4,20,2,3,69,21,blue,8,60,2015,48.5
201526,f,y,5,42,1,9,7,-0.13,6,60,2,3,63,18.5,blue,6,68,2015,48.5
201527,f,y,5,45,1,0,10,1,6,0,3,3,68.5,21,blue,8,68,2015,48.5
201528,f,y,1,50,1,3,14,0.65,3,30,2,4,68,20,purple,8.5,60,2015,48.5
201529,f,y,3,47,1,8,10,0.11,5,20,2,3,68,20.7,aqua,6.5,52,2015,48.5
201530,f,y,3,47,1,7,6,-0.08,5,3,2,3,67,21,sapphire,7.5,69,2015,48.5
201531,f,y,7,42,1,0,20,1,7,0,5,5,68,22,yellow,8,86,2015,48.5
201532,f,y,5,53,1,2,15,0.76,6,210,3,2,70,21.5,purple,7.5,76,2015,48.5
201533,m,y,3,53,1,0,17,1,5,14,4,3,69,21.5,green,8,60,2015,48.5
201534,f,y,3,51,1,0,10,1,5,60,3,2,66,18,blue,6,66,2015,48.5
201535,m,y,4,55,1,0,20,1,5,0,4,5,66,23.5,blue,5,72,2015,48.5
201536,f,y,6,53,1,1,9,0.8,7,50,3,2,68,20,pink,7,80,2015,48.5
201537,m,y,4,47,1,3,12,0.6,7,18,2,2,67,21.5,orange,8,74,2015,48.5
201538,m,y,4,49,1,1,10,0.82,6,15,3,2,69,19.5,blue,9,70,2015,48.5
201539,f,y,3,42,1,5,15,0.5,6,55,3,2,62,18,blue,6,90,2015,48.5
201540,m,y,3,45,2,16,7,-0.39,6,32,3,2,70,21.5,red,6,80,2015,48.5
201541,f,y,2,47,1,0,20,1,7,0,3,4,63,21,yellow,6.5,70,2015,48.5
201542,f,y,6,37,1,0,20,1,7,30,4,4,64,20,purple,7,66,2015,48.5
201543,f,n,6,49,1,0,19,1,6,0,4,3,65,19.5,blue,8,60,2015,48.5
201544,f,n,6,53,1,0,19,1,6,0,2,2,66,22.5,yellow,8,62,2015,48.5
201545,f,y,4,48,1,6,14,0.4,6,6,1,2,63.5,18,pink,8,54,2015,48.5
201546,m,y,5,53,1,5,15,0.5,7,0,2,3,70,21,blue,7,88,2015,48.5
201547,m,y,5,48,1,2,9,0.64,7,20,3,3,66,21.7,blue,8,68,2015,48.5
201548,m,y,7,57,1,1,10,0.82,7,55,4,2,68,22,brown,5,64,2015,48.5
201549,m,y,5,44,2,1,9,0.8,7,48,1,4,71,22.6,blue,7,86,2015,48.5
201401,f,y,5,42,1,1,14,0.87,7,35,4,5,68,19,green,6,86,2014,47.5
201402,f,y,5,40,1,2,12,0.71,6,35,3,2,64,18,green,7,80,2014,47.5
201403,m,y,5,38,1,0,10,1,7,15,5,1,72,16,orange,6,30,2014,47.5
201404,f,y,5,46,1,0,10,1,6,12,4,2,66,19,green,6,64,2014,47.5
201405,m,y,5,45,1,0,17,1,7,10,2,3,68,20.5,green,6,56,2014,47.5
201406,m,y,6,44,2,15,10,-0.2,7,28,5,5,66,21.5,blue,8,82,2014,47.5
201407,f,n,1,52,1,7,2,-0.56,5,50,1,1,64,22.8,red,7,72,2014,47.5
201408,m,y,5,55,1,10,10,0,7,70,3,4,67,20.5,blue,6.5,68,2014,47.5
201409,f,NA,5,40,1,4,12,0.5,5,32,2,3,63,8,red,7,52,2014,47.5
201410,f,n,5,46,1,5,15,0.5,6,18,3,3,65,18,purple,4,84,2014,47.5
201411,f,y,5,54,1,3,16,0.68,6,30,4,3,65,16,green,6,62,2014,47.5
201412,m,n,5,53,2,2,14,0.75,7,0,2,3,70,20,grey,7,68,2014,47.5
201413,f,y,6,45,1,1,16,0.88,5,55,1,2,64,20,blue,7,62,2014,47.5
201414,m,y,5,52,1,2,10,0.67,7,0,3,2,70,22,blue,6,66,2014,47.5
201415,f,y,4,45,1,5,14,0.47,5,20,2,2,60,18,silver,6,78,2014,47.5
201416,m,y,4,52,1,4,16,0.6,6,60,3,3,72,22.5,green,8,66,2014,47.5
201417,m,n,3,58,1,2,16,0.78,5,25,4,4,71,22,blue,6,70,2014,47.5
201418,m,y,5,40,1,1,15,0.88,5,15,4,4,67,21,red,7,68,2014,47.5
201419,f,y,5,45,1,3,15,0.67,6,25,3,4,65,21.5,green,6,86,2014,47.5
201420,m,n,6,48,1,0,13,1,7,15,2,3,71,21.4,brown,6,88,2014,47.5
201421,f,y,5,45,1,0,16,1,7,28,2,4,63,20.2,dark blue,7,78,2014,47.5
201422,m,y,7,40,1,3,8,0.45,7,9,4,3,72,11,blue,8,80,2014,47.5
201423,m,n,7,40,1,0,10,1,7,5,4,2,71,10,blue,9,75,2014,47.5
201424,f,y,5,55,1,0,17,1,7,0,2,2,64,19,green,7,92,2014,47.5
201425,f,n,5,49,1,3,17,0.7,7,100,3,1,63,16,blue,9,80,2014,47.5
201426,m,n,6,45,1,3,13,0.63,6,25,2,3,72,20.5,NA,6,72,2014,47.5
201427,m,y,6,46,1,12,3,-0.6,7,15,1,2,70,21.5,depends,7,62,2014,47.5
201428,m,y,7,50,1,2,18,0.8,7,25,3,2,70,23.5,blue,6,66,2014,47.5
201429,f,y,1,56,1,6,14,0.4,6,30,2,3,64,18.5,blue,7.5,68,2014,47.5
201430,m,y,4,55,1,1,19,0.9,6,20,3,3,NA,22,blue,8.5,74,2014,47.5
201431,m,y,6,50,1,2,18,0.8,6,0,3,2,68.5,20.5,green,8,66,2014,47.5
201432,m,y,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,47.5
201433,m,y,2,47,1,4,16,0.6,5,14,3,1,72,21,aquamarine,7,80,2014,47.5
201434,m,y,7,45,1,0,10,1,7,7,4,2,73,24,blue,7,70,2014,47.5
201435,m,y,2,45,1,3,17,0.7,4,14,2,1,71,22,green,8.5,70,2014,47.5
201436,m,y,6,47,1,0,14,1,6,15,3,3,70,25,blue,8,70,2014,47.5
201437,m,y,4,42,1,8,12,0.2,7,20,3,3,73,20,blue,6,58,2014,47.5
201438,m,y,7,53,1,6,14,0.4,6,25,1,1,71,24,blue,8,59,2014,47.5
201439,m,n,7,50,1,0,20,1,7,12,5,3,67,21,white,6,80,2014,47.5
201440,m,y,5,47,1,3,9,0.5,5,18,2,2,67,21,white,9,70,2014,47.5
201441,m,n,5,52,1,5,12,0.41,6,15,2,2,68,23,pink,8,72,2014,47.5
201442,f,y,5,42,1,0,20,1,6,25,5,1,64,17,green,4,77,2014,47.5
